               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.016287,           0.0044773,                   0,                   1,             0.98253,             0.99475,              0.7478,            0.019155,           0.0037797,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.016219,           0.0044478,                   0,             0.98975,                   1,               0.995,              0.7435,            0.018764,           0.0037492,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.016563,           0.0042168,                   0,                   1,             0.99867,               0.995,             0.75865,            0.019272,           0.0038505,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.016852,           0.0042986,                   0,             0.99807,                   1,               0.995,             0.74413,            0.019424,           0.0037467,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.016513,           0.0044854,                   0,             0.99667,                   1,               0.995,              0.7667,             0.01826,           0.0036654,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.016735,            0.004341,                   0,                   1,             0.99779,               0.995,             0.76818,            0.018185,           0.0036962,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.017435,           0.0043052,                   0,             0.98318,             0.99944,             0.99483,             0.76765,            0.018735,           0.0037342,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.017095,           0.0047038,                   0,             0.96572,                   1,              0.9945,             0.75971,            0.019105,           0.0037563,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.016696,           0.0046262,                   0,              0.9811,             0.99145,             0.99466,             0.74752,            0.019057,           0.0036612,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.017191,           0.0042117,                   0,             0.99938,             0.99145,               0.995,             0.76028,            0.018622,           0.0035499,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.015955,            0.004257,                   0,             0.99821,             0.99145,               0.995,             0.77135,            0.018005,           0.0035269,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.016656,           0.0043754,                   0,             0.99968,             0.99145,               0.995,             0.76739,             0.01844,            0.003562,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.016036,            0.004274,                   0,                   1,             0.99117,               0.995,             0.75082,            0.019286,           0.0036363,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.016139,           0.0043378,                   0,             0.99914,             0.99145,               0.995,             0.76665,            0.018853,           0.0036467,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.016638,           0.0043239,                   0,              0.9997,                   1,               0.995,             0.76783,            0.018826,           0.0036866,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.016431,           0.0040188,                   0,                   1,             0.98859,               0.995,             0.76037,            0.019333,           0.0037506,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.016604,           0.0042566,                   0,              0.9906,             0.99145,             0.99483,             0.73942,            0.019766,           0.0037605,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.016489,           0.0042343,                   0,             0.99152,             0.99926,               0.995,             0.75067,            0.018862,           0.0038503,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,             0.01635,           0.0042229,                   0,             0.99926,             0.99145,               0.995,             0.77501,            0.017956,           0.0038349,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.015512,            0.004033,                   0,             0.99907,             0.99145,               0.995,             0.75647,            0.019005,           0.0037872,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.015666,            0.004193,                   0,              0.9998,             0.99145,               0.995,             0.75934,            0.019112,           0.0036719,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.016553,           0.0042164,                   0,             0.99113,                   1,             0.99492,             0.74843,            0.019582,           0.0036355,                   0,           0.0068122,           0.0068122,           0.0068122
